bytes_sent,index,source_port,destination_ip,log_level,system_type,action,timestamp,destination_port,host_name,domain_name,response_code,bytes_received,query_duration,event_id,description,direction,status,response,application,service_name,process_id,protocol,rule_id,severity,query_type,message,user_id,session_duration,source_ip
234639,Network,51763,172.19.226.6,,,,2025-09-29T23:40:51.176481,22,,,,655558,,66ae928d-394e-4338-b32d-5f704d5eeceb,,,,,,,,UDP,,info,,,,272.98,172.19.105.97
,System Log,,172.21.121.8,ERROR,windows,,2025-09-29T23:07:44.033674,,WIN-4521,,,,,5b9a8da8-9940-4a9d-b1b9-11ae50e1949a,,,,,,postgresql,42026,,,ERROR,,Group membership changed,,,10.225.142.18
,Firewall,43188,10.72.53.249,,,drop,2025-09-29T23:58:00.118953,3306,,,,,,a8fda149-9def-4818-bb64-0d1972df25ef,,inbound,,,,,,UDP,FW_RULE_5427,critical,,,,,10.70.14.109
,DNS,,159.86.100.134,,,,2025-09-29T23:34:35.076005,,,example.com,0,,0.02,4dad21f4-795e-4ff6-b973-2542ea17d444,,,,NOERROR,,,,,,info,AAAA,,,,192.168.158.245
,Security,,192.168.4.130,,,login,2025-09-29T23:47:11.951229,,,,,,,3cea1136-70de-42dd-9c41-fd365d18f874,account locked for user on firefox,,success,,firefox,,,,,medium,,,user44,,192.168.160.250
1207575,Network,51302,10.25.61.67,,,,2025-09-29T23:34:53.399152,3389,,,,998739,,1217fb7d-8f92-43ce-9f33-c226164f4fb9,,,,,,,,TCP,,info,,,,53.298,203.149.45.37
,System Log,,192.168.88.163,WARNING,linux,,2025-09-30T00:04:46.341871,,LNX-3239,,,,,78a1b724-1a62-45c6-9063-91c613d97182,,,,,,nginx,22863,,,WARNING,,Service restart,,,172.20.69.140
,Firewall,30679,10.36.36.143,,,drop,2025-09-29T23:43:02.489272,53,,,,,,80d928ef-ee8b-4fce-ad3a-c71761f4ccc3,,outbound,,,,,,TCP,FW_RULE_6378,critical,,,,,227.91.175.232
,DNS,,164.15.128.117,,,,2025-09-29T23:57:27.806439,,,test.org,3,,0.247,310015b3-d8f9-42ac-b39e-c3ccbadfd082,,,,NXDOMAIN,,,,,,info,MX,,,,192.168.164.104
,Security,,172.25.52.186,,,file_access,2025-09-29T23:22:34.793998,,,,,,,309cc25d-d564-4c93-a892-3dceeb5ded6a,write for user on vpn,,success,,slack,,,,,medium,,,user48,,10.116.121.64
313065,Network,63471,192.168.83.116,,,,2025-09-29T23:25:10.497196,80,,,,833346,,5f9d187b-87fb-4cf9-a204-4854a0f03ad8,,,,,,,,ICMP,,info,,,,202.356,172.16.248.250
,System Log,,172.24.2.51,ERROR,windows,,2025-09-29T23:18:29.638544,,WIN-7516,,,,,11a3029d-2b4b-40f0-a0c6-4841f175e252,,,,,,nginx,14070,,,CRITICAL,,Configuration changed,,,172.19.187.102
,Firewall,10688,172.28.43.68,,,deny,2025-09-29T23:14:04.144788,53,,,,,,235eed3c-8ef7-407f-9f39-d1e22af203ec,,outbound,,,,,,TCP,FW_RULE_3066,critical,,,,,123.44.244.5
,DNS,,41.222.7.132,,,,2025-09-29T23:37:53.990692,,,mail.company.local,0,,0.655,088a2613-a17f-401b-a4de-457e4050b346,,,,NOERROR,,,,,,info,NS,,,,172.23.4.11
,Security,,172.22.64.157,,,login,2025-09-30T00:02:52.406183,,,,,,,acc94b77-c796-438c-b92c-511e8df29654,failed login for user on firefox,,failure,,vpn,,,,,low,,,user14,,10.43.171.113
1063571,Network,63618,172.31.196.168,,,,2025-09-30T00:01:55.141293,443,,,,174444,,0dbe2676-ad20-4c2c-be22-9435fee55593,,,,,,,,UDP,,info,,,,82.387,147.93.86.117
,System Log,,10.85.125.140,WARNING,linux,,2025-09-29T23:50:56.407098,,LNX-9898,,,,,7a9271eb-d857-4c83-8259-8f49c3b52ed2,,,,,,nginx,3736,,,CRITICAL,,Process terminated,,,192.168.226.91
,Firewall,22315,192.168.40.182,,,drop,2025-09-29T23:17:43.377594,25,,,,,,df7caf19-c06d-4a26-b5c4-22c7258a531c,,inbound,,,,,,TCP,FW_RULE_6969,warning,,,,,192.168.123.117
,DNS,,201.82.124.103,,,,2025-09-30T00:01:37.453528,,,example.com,1,,0.44,eca938e3-ce39-462f-9174-65bdabd04e5e,,,,FORMERR,,,,,,info,NS,,,,192.168.101.124
,Security,,192.168.98.138,,,login,2025-09-29T23:22:28.103365,,,,,,,afb48374-0071-4945-a623-a37b39a7c4ed,failed login for user on slack,,failure,,outlook,,,,,high,,,user90,,172.20.25.19
1014527,Network,50910,172.28.35.90,,,,2025-09-29T23:08:45.301176,80,,,,527964,,58df3007-dd19-47ed-98cc-8aa055b461c8,,,,,,,,UDP,,info,,,,211.582,105.113.5.87
,System Log,,192.168.81.131,INFO,windows,,2025-09-29T23:18:03.762479,,WIN-1714,,,,,a0f62462-7235-42a7-b40b-db149d4ebe3e,,,,,,sshd,21906,,,DEBUG,,Group membership changed,,,10.43.51.152
,Firewall,48548,172.16.72.201,,,deny,2025-09-29T23:29:08.152453,53,,,,,,1a4ee780-67ad-412b-807e-14d6e1841487,,inbound,,,,,,UDP,FW_RULE_3763,warning,,,,,203.137.66.146
,DNS,,197.170.180.119,,,,2025-09-29T23:26:13.299000,,,wiki.internal.net,0,,0.517,5ae01b6f-a7ad-4b8b-8dbe-be2f17afa250,,,,NOERROR,,,,,,info,TXT,,,,172.24.236.104
,Security,,10.38.110.114,,,login,2025-09-29T23:58:49.740400,,,,,,,79409f19-f6f6-4523-b919-38dfa4fa276b,account locked for user on vpn,,success,,outlook,,,,,low,,,user25,,172.17.22.249
707308,Network,61375,172.17.111.221,,,,2025-09-29T23:16:56.775917,3306,,,,7053,,a37d7dab-cf48-436d-9e24-3b7902afb93b,,,,,,,,ICMP,,info,,,,186.837,192.168.177.247
,System Log,,10.87.117.71,INFO,linux,,2025-09-29T23:38:16.277191,,LNX-3813,,,,,617221ed-4443-43e8-97c3-615e15f2dd5b,,,,,,sshd,2033,,,CRITICAL,,Service restart,,,10.35.54.191
,Firewall,65276,172.24.153.56,,,deny,2025-09-29T23:35:28.492544,3306,,,,,,c7824330-7b16-47c5-a456-a5f3ad09fff1,,outbound,,,,,,UDP,FW_RULE_9363,info,,,,,172.18.62.39
,DNS,,51.95.41.35,,,,2025-09-29T23:54:27.466584,,,internal.net,0,,0.751,2bc07597-bc30-4126-b13f-5ebba3986fc9,,,,NOERROR,,,,,,info,TXT,,,,10.239.45.251
,Security,,172.29.63.121,,,login,2025-09-29T23:29:59.590206,,,,,,,1e37b1ee-046d-4d51-8419-ffba9d1ff02f,successful login for user on vpn,,success,,firefox,,,,,critical,,,user79,,192.168.194.138
744024,Network,49592,172.19.223.114,,,,2025-09-30T00:02:06.154049,5432,,,,918848,,cd5c7243-0760-4d35-8d62-7af1646617ac,,,,,,,,TCP,,info,,,,144.435,152.246.160.79
,System Log,,10.80.226.4,ERROR,windows,,2025-09-29T23:49:22.013782,,WIN-1591,,,,,622a81d3-aa50-4aaa-b47a-c36ea3401402,,,,,,mysqld,21507,,,ERROR,,Boot completed,,,10.67.134.181
,Firewall,14091,10.164.114.177,,,drop,2025-09-29T23:20:04.882053,25,,,,,,43721724-4e15-4a50-9d69-c6e0911b7fc8,,inbound,,,,,,UDP,FW_RULE_9958,info,,,,,156.157.69.122
,DNS,,236.169.125.195,,,,2025-09-30T00:01:31.326487,,,dev.company.local,0,,0.827,83e20e99-103a-41e2-aafd-d329cfda4b96,,,,NOERROR,,,,,,info,MX,,,,10.153.59.229
,Security,,10.11.139.118,,,login,2025-09-29T23:19:44.876638,,,,,,,e27cca83-1454-48fe-983e-ff137b283138,account locked for user on slack,,success,,chrome,,,,,high,,,user37,,172.21.72.196
1338916,Network,51748,10.51.60.194,,,,2025-09-29T23:14:00.596778,25,,,,904903,,3ea9003b-76ac-4df0-b06e-bc35738187e0,,,,,,,,UDP,,info,,,,234.392,174.56.18.34
,System Log,,172.31.163.210,WARNING,windows,,2025-09-29T23:20:22.295175,,WIN-3307,,,,,148ef3ae-7c0f-4e99-99f7-cbeec03ad53b,,,,,,mysqld,4744,,,DEBUG,,Group membership changed,,,172.19.19.123
,Firewall,55218,192.168.67.44,,,allow,2025-09-30T00:04:59.571917,53,,,,,,797506a8-012f-4b55-8ac8-6319853092e9,,inbound,,,,,,TCP,FW_RULE_2697,info,,,,,45.125.200.71
,DNS,,179.72.236.110,,,,2025-09-30T00:10:02.335447,,,dev.company.local,0,,0.729,1b5a0b91-cecb-480b-b1f8-cac7d6fedfa8,,,,NOERROR,,,,,,info,CNAME,,,,192.168.205.45
,Security,,172.23.95.208,,,file_access,2025-09-30T00:09:56.340250,,,,,,,7e9c7ac1-1542-411d-a980-5445d459291e,write for user on vpn,,success,,firefox,,,,,critical,,,user32,,192.168.80.170
1314190,Network,1782,10.160.35.67,,,,2025-09-29T23:20:56.376574,8555,,,,998180,,38cadcf2-8485-4722-b097-b7492a6690b9,,,,,,,,UDP,,info,,,,116.699,126.28.177.168
,System Log,,10.116.174.156,INFO,linux,,2025-09-29T23:49:21.147049,,LNX-9387,,,,,873a8e55-8a8f-4f06-bffe-2cd8bd24e850,,,,,,sshd,42235,,,DEBUG,,SSH login,,,172.27.33.68
,Firewall,48297,10.111.38.228,,,drop,2025-09-29T23:31:05.356182,3306,,,,,,99c09590-d94a-49a9-83dd-9e7ea20d1c0a,,inbound,,,,,,ICMP,FW_RULE_3966,info,,,,,120.93.145.27
,DNS,,80.9.230.162,,,,2025-09-30T00:01:22.173639,,,test.org,3,,0.128,574cba63-c93a-48c8-b1d4-ed4a54e92186,,,,NXDOMAIN,,,,,,info,AAAA,,,,172.31.212.179
,Security,,172.31.249.9,,,file_access,2025-09-29T23:51:40.423479,,,,,,,20d44263-04d0-45c2-a913-e1d874962f5e,read for user on zoom,,success,,slack,,,,,medium,,,user47,,192.168.86.128
821468,Network,59349,192.168.167.228,,,,2025-09-29T23:42:48.896808,22,,,,1111402,,3fe25145-18be-453d-8300-d170b0aca2d8,,,,,,,,UDP,,info,,,,127.054,10.67.1.130
,System Log,,172.25.48.5,ERROR,linux,,2025-09-29T23:29:33.685752,,LNX-4790,,,,,1bf59a92-422d-4032-89c8-a8a910ef6dc2,,,,,,postgresql,23565,,,CRITICAL,,USB device connected,,,172.24.145.251
,Firewall,63622,172.24.37.62,,,allow,2025-09-29T23:48:32.614534,25,,,,,,a7c36649-9b7d-42b4-82f2-7a275609c713,,inbound,,,,,,ICMP,FW_RULE_9516,info,,,,,219.190.146.161
,DNS,,200.122.50.122,,,,2025-09-30T00:07:59.621900,,,test.org,0,,0.649,8023542e-46d4-4647-ae90-70f0a2ce979d,,,,NOERROR,,,,,,info,TXT,,,,192.168.213.229
,Security,,192.168.148.106,,,password_change,2025-09-29T23:58:21.030321,,,,,,,ae07e5d9-9021-46e6-9952-ef9f18bc85bf,system enforced for user on chrome,,success,,chrome,,,,,low,,,user52,,192.168.241.219
1404943,Network,62943,172.22.251.149,,,,2025-09-29T23:20:24.768637,80,,,,272166,,50ed6ac8-93e2-4bf7-9264-4a5b2ac2f463,,,,,,,,ICMP,,info,,,,73.546,207.159.204.224
,System Log,,172.22.41.171,INFO,linux,,2025-09-29T23:50:58.604660,,LNX-6355,,,,,0ac9ba67-3260-4ffb-a23e-e1cdf66dac0a,,,,,,mysqld,27852,,,DEBUG,,Network interface down,,,172.20.79.205
,Firewall,12754,10.253.17.6,,,allow,2025-09-30T00:00:40.274326,3389,,,,,,dbc95635-d03f-43e0-ab1c-3185dd6c1ab8,,inbound,,,,,,TCP,FW_RULE_3989,info,,,,,228.143.219.217
,DNS,,158.250.250.184,,,,2025-09-30T00:01:29.882307,,,mail.company.local,0,,0.963,dfb4b5bc-094c-4173-adf5-26f084687591,,,,NOERROR,,,,,,info,A,,,,172.28.228.235
,Security,,192.168.54.164,,,login,2025-09-30T00:01:04.857930,,,,,,,53a9a21b-8c8c-4220-97c7-5ddc6eacb68d,failed login for user on zoom,,failure,,firefox,,,,,high,,,user94,,172.31.22.22
431366,Network,57118,172.30.86.220,,,,2025-09-29T23:37:05.362008,22,,,,309891,,921da020-1f7f-404b-8742-80c6705dd02a,,,,,,,,TCP,,info,,,,31.34,140.201.213.135
,System Log,,192.168.89.108,ERROR,windows,,2025-09-29T23:50:32.944807,,WIN-3077,,,,,8802f0a8-d820-4b53-92f6-961b3777b2d5,,,,,,mysqld,13182,,,DEBUG,,Boot completed,,,192.168.79.184
,Firewall,36714,192.168.109.100,,,drop,2025-09-29T23:50:49.912578,25,,,,,,202a1a29-e8d4-4249-a0f7-d3d7e44dd122,,inbound,,,,,,TCP,FW_RULE_5097,info,,,,,192.168.163.253
,DNS,,225.253.159.179,,,,2025-09-30T00:11:31.858754,,,example.com,0,,0.28,8dcd04e5-48e1-4d60-a23e-46142616abf0,,,,NOERROR,,,,,,info,A,,,,10.234.13.138
,Security,,10.135.255.235,,,password_change,2025-09-29T23:49:07.064630,,,,,,,f9c3ca92-08c8-4ffa-9a5b-87583b741bc0,admin reset for user on firefox,,success,,ssh,,,,,high,,,user33,,10.182.101.8
328651,Network,28734,192.168.191.21,,,,2025-09-29T23:20:53.005857,38752,,,,693379,,4938dba6-1cc5-4db0-9b42-502c41c6ec74,,,,,,,,ICMP,,info,,,,163.768,183.15.166.35
,System Log,,172.16.18.157,INFO,linux,,2025-09-29T23:59:52.433826,,LNX-8422,,,,,48bd65e8-66c9-4511-b64a-7d96cba79e61,,,,,,postgresql,9098,,,INFO,,Network interface down,,,192.168.198.205
,Firewall,62233,172.30.202.159,,,deny,2025-09-30T00:00:23.722115,443,,,,,,7734e161-456e-4a0d-886e-561ccf122537,,inbound,,,,,,UDP,FW_RULE_6150,info,,,,,235.157.58.88
,DNS,,36.65.81.17,,,,2025-09-30T00:15:59.497742,,,dev.company.local,0,,0.114,b8ab2bcd-0408-49ca-bf79-73c61c1b287d,,,,NOERROR,,,,,,info,A,,,,172.31.127.188
,Security,,10.105.147.90,,,login,2025-09-29T23:57:31.130798,,,,,,,6f95d6da-ef26-49de-9d67-b98fc471fd87,account locked for user on vpn,,success,,chrome,,,,,critical,,,user36,,172.25.106.36
974865,Network,51126,10.35.159.191,,,,2025-09-30T00:12:04.664609,25,,,,189900,,7bbcfef4-ddc9-4312-9bfa-26ccb08cb22a,,,,,,,,UDP,,info,,,,195.307,10.240.176.165
,System Log,,192.168.11.39,WARNING,windows,,2025-09-30T00:08:19.503223,,WIN-8478,,,,,d20b2fa7-dab6-4194-a82e-98b6148401d2,,,,,,postgresql,35473,,,INFO,,Application crash,,,10.69.201.60
,Firewall,8788,192.168.0.131,,,deny,2025-09-29T23:32:27.082298,3306,,,,,,ee9522c0-6cd2-4c24-b2a9-8c165651efe7,,inbound,,,,,,UDP,FW_RULE_8581,info,,,,,50.97.228.148
,DNS,,90.21.31.246,,,,2025-09-30T00:15:19.037651,,,example.com,0,,0.969,2660b03c-923b-4037-a5fe-49a51b10de2f,,,,NOERROR,,,,,,info,CNAME,,,,172.24.133.52
,Security,,172.29.92.142,,,permission_change,2025-09-29T23:59:55.489739,,,,,,,7287c786-1257-431f-b312-14ee1ef6ff22,group membership change for user on slack,,success,,ssh,,,,,medium,,,user69,,192.168.5.197
844218,Network,56521,10.135.87.139,,,,2025-09-29T23:58:17.981108,55932,,,,305738,,394b38c9-7571-4ed3-b9cf-6c4b881045c8,,,,,,,,ICMP,,info,,,,10.874,6.207.186.86
,System Log,,10.54.131.49,INFO,linux,,2025-09-29T23:50:26.622750,,LNX-6023,,,,,0c8ae190-8a6a-45d1-a7e9-d3797cc14d7a,,,,,,sshd,26198,,,INFO,,sudo command execution,,,10.176.168.101
,Firewall,14148,172.30.102.249,,,deny,2025-09-29T23:55:15.802174,25,,,,,,a9cff45e-cfc7-4a86-89c1-06f3731d722e,,inbound,,,,,,UDP,FW_RULE_5018,warning,,,,,78.110.239.28
,DNS,,111.207.220.57,,,,2025-09-29T23:58:05.998350,,,company.local,3,,0.213,b530129a-d7ae-43c9-9360-68c7d8ea8549,,,,NXDOMAIN,,,,,,info,TXT,,,,192.168.4.26
,Security,,192.168.60.72,,,logout,2025-09-29T23:50:29.647521,,,,,,,d77bf74c-1a28-45a4-8b7e-0c9bbef5d4e5,user initiated for user on ssh,,success,,ssh,,,,,medium,,,user52,,192.168.104.151
1340877,Network,59759,192.168.236.68,,,,2025-09-29T23:28:23.865277,53,,,,825551,,6f1e2d38-219a-4490-a1fc-4d9994f829e8,,,,,,,,UDP,,info,,,,80.176,8.219.206.248
,System Log,,10.9.33.11,ERROR,linux,,2025-09-29T23:43:46.592725,,LNX-8141,,,,,f4c59eea-abd0-40ba-9b8a-ff44194e179d,,,,,,nginx,36374,,,DEBUG,,Process terminated,,,172.17.133.234
,Firewall,29368,10.241.188.53,,,allow,2025-09-30T00:09:19.367246,443,,,,,,f8d80e17-02fa-468c-91a8-1ad68b1b0b36,,inbound,,,,,,TCP,FW_RULE_8360,critical,,,,,52.110.150.49
,DNS,,50.118.186.153,,,,2025-09-30T00:02:15.806041,,,company.local,5,,0.843,480e3818-78db-4e33-8bb8-f177a5ca654d,,,,REFUSED,,,,,,info,MX,,,,172.30.20.75
,Security,,10.171.203.139,,,logout,2025-09-29T23:48:53.223540,,,,,,,35728274-8d57-4f04-9680-ea72a2fc4519,session timeout for user on chrome,,success,,slack,,,,,low,,,user47,,192.168.117.201
845043,Network,51493,192.168.22.137,,,,2025-09-29T23:34:57.190563,53,,,,963872,,104d4911-2ab5-43e6-bd7a-8b7502902872,,,,,,,,ICMP,,info,,,,59.616,192.168.66.191
,System Log,,192.168.60.235,WARNING,linux,,2025-09-29T23:59:47.282077,,LNX-9642,,,,,6d250468-78c2-495c-b94a-e1c83ae56630,,,,,,nginx,11718,,,ERROR,,sudo command execution,,,192.168.183.114
,Firewall,61809,172.27.215.59,,,deny,2025-09-30T00:17:08.503026,443,,,,,,bf2dcc67-7be2-45bb-b8ee-a316d83977e1,,inbound,,,,,,ICMP,FW_RULE_8503,warning,,,,,192.168.152.20
,DNS,,117.26.192.142,,,,2025-09-29T23:33:30.149862,,,wiki.internal.net,0,,0.836,c72165a1-eb3a-4888-b321-cf997561a2d0,,,,NOERROR,,,,,,info,TXT,,,,172.25.53.25
,Security,,10.224.203.109,,,file_access,2025-09-30T00:04:08.627065,,,,,,,701c39bf-f52e-416d-9b95-653925249a45,read for user on firefox,,success,,slack,,,,,medium,,,user29,,192.168.52.12
537418,Network,28636,172.30.112.83,,,,2025-09-30T00:14:22.254010,44953,,,,641267,,1352253d-1b81-454f-a9ca-cafeba183378,,,,,,,,ICMP,,info,,,,188.365,192.168.191.88
,System Log,,10.104.109.16,ERROR,linux,,2025-09-30T00:12:18.837401,,LNX-5221,,,,,eb4e9f7e-3168-406f-b040-ad254a7ac262,,,,,,mysqld,43887,,,WARNING,,Configuration reload,,,172.27.227.39
,Firewall,49294,192.168.98.32,,,allow,2025-09-30T00:19:08.026524,3306,,,,,,774dcda2-7472-4bbf-ac6a-0a070727533f,,inbound,,,,,,TCP,FW_RULE_4926,warning,,,,,209.49.136.25
,DNS,,65.35.20.89,,,,2025-09-29T23:27:05.459198,,,example.com,0,,0.881,2a55e191-88cc-4533-aec2-b3c68b73e81e,,,,NOERROR,,,,,,info,AAAA,,,,172.26.35.223
,Security,,192.168.1.20,,,logout,2025-09-29T23:38:47.660716,,,,,,,8433b712-4ed3-48da-9639-bb2d3d03c06f,user initiated for user on firefox,,success,,chrome,,,,,medium,,,user51,,192.168.110.44
950383,Network,60926,172.27.191.24,,,,2025-09-29T23:44:47.918220,25,,,,1398525,,258383b5-89ed-4561-ba25-8f634073944e,,,,,,,,UDP,,info,,,,188.401,235.109.161.124
,System Log,,192.168.224.166,ERROR,windows,,2025-09-29T23:51:49.719106,,WIN-9029,,,,,5e117c24-19d3-4215-bd3a-a6e042ec40c7,,,,,,postgresql,54222,,,WARNING,,Service started,,,192.168.88.81
,Firewall,58313,10.93.102.153,,,drop,2025-09-29T23:51:01.060040,80,,,,,,955e5dba-fd1d-4c43-b16d-a9436b351f10,,inbound,,,,,,UDP,FW_RULE_5998,warning,,,,,148.3.183.26
,DNS,,32.235.100.75,,,,2025-09-30T00:16:28.096361,,,wiki.internal.net,0,,0.345,faaa01e4-cc20-43f6-88b3-4a3024626a5c,,,,NOERROR,,,,,,info,A,,,,172.19.197.11
,Security,,10.191.219.196,,,file_access,2025-09-30T00:01:28.619827,,,,,,,5f4d41ad-c532-4198-85a0-41988fb661be,read for user on firefox,,success,,chrome,,,,,high,,,user31,,10.111.253.46
947486,Network,58273,192.168.213.111,,,,2025-09-29T23:56:38.596431,3306,,,,1184992,,4d310e63-39d4-4ee1-98a5-4af35b8c76d5,,,,,,,,UDP,,info,,,,106.475,104.179.14.216
,System Log,,10.150.137.223,INFO,windows,,2025-09-30T00:09:48.585968,,WIN-5187,,,,,3406384b-e8bc-42f3-acbe-450eb51c6185,,,,,,mysqld,14316,,,INFO,,Update installed,,,10.39.25.249
,Firewall,42619,192.168.158.124,,,drop,2025-09-30T00:18:38.099218,5432,,,,,,8a80a3d3-52de-4c2e-ba7b-9e91e4610d3e,,inbound,,,,,,UDP,FW_RULE_1399,warning,,,,,10.95.122.189
,DNS,,135.14.223.73,,,,2025-09-30T00:24:17.289747,,,dev.company.local,1,,0.985,40dd3885-da93-4b87-953e-78384e922138,,,,FORMERR,,,,,,info,A,,,,192.168.30.242
,Security,,10.34.178.87,,,file_access,2025-09-29T23:50:59.859955,,,,,,,f84ebd37-8f6d-470f-8f38-6a01977f63f0,read for user on vpn,,success,,chrome,,,,,critical,,,user34,,10.140.227.227
834448,Network,26801,192.168.13.10,,,,2025-09-29T23:42:01.093514,49548,,,,1303611,,6d1352e4-59ed-420c-8a1c-9c5362fc7406,,,,,,,,ICMP,,info,,,,76.011,10.165.56.181
,System Log,,192.168.248.156,ERROR,windows,,2025-09-29T23:45:46.502622,,WIN-7183,,,,,a1a05dab-b56d-4311-832d-c332f2d70a6a,,,,,,httpd,12742,,,ERROR,,Group membership changed,,,192.168.211.237
,Firewall,2192,192.168.36.62,,,allow,2025-09-30T00:15:08.452817,25,,,,,,37ed709f-89ac-4784-ac6c-c7145cf3a961,,outbound,,,,,,UDP,FW_RULE_2060,info,,,,,77.21.92.204
,DNS,,88.73.150.144,,,,2025-09-29T23:41:51.494960,,,test.org,0,,0.328,8c2cf866-138a-44f9-a601-f8a50fca25c7,,,,NOERROR,,,,,,info,A,,,,192.168.185.106
,Security,,192.168.75.198,,,logout,2025-09-30T00:14:30.109196,,,,,,,80ec6a13-4f46-441d-9229-e083fefe0777,session timeout for user on slack,,success,,outlook,,,,,medium,,,user39,,10.193.178.44
238983,Network,51742,192.168.111.180,,,,2025-09-30T00:09:51.781608,443,,,,731847,,5684cc01-b210-41da-a8b0-084c7ed1bd77,,,,,,,,UDP,,info,,,,68.643,150.123.105.241
,System Log,,10.153.207.132,WARNING,windows,,2025-09-29T23:55:27.556025,,WIN-6904,,,,,1ef28e16-af89-4978-ae89-455efed7b2d4,,,,,,httpd,45237,,,WARNING,,Configuration changed,,,10.206.15.51
,Firewall,57656,172.20.101.27,,,allow,2025-09-29T23:35:59.321434,443,,,,,,62787bd0-ba1c-4fb2-ac0f-0648188be65c,,outbound,,,,,,TCP,FW_RULE_2555,info,,,,,137.207.92.253
,DNS,,129.145.36.250,,,,2025-09-30T00:14:39.102986,,,wiki.internal.net,0,,0.534,7970bf78-e5a2-4a76-97ae-85a345854503,,,,NOERROR,,,,,,info,AAAA,,,,10.242.92.92
,Security,,10.94.131.57,,,password_change,2025-09-30T00:13:19.622055,,,,,,,d5f393e3-7c58-4f00-bc7d-abfdba6de387,system enforced for user on zoom,,success,,ssh,,,,,critical,,,user27,,172.25.183.188
1017610,Network,63998,10.130.169.53,,,,2025-09-30T00:27:10.295270,3389,,,,219574,,1363a70b-7814-4291-ba4f-9f8d084ea10e,,,,,,,,TCP,,info,,,,281.544,172.27.161.199
,System Log,,192.168.29.55,INFO,windows,,2025-09-30T00:04:18.965929,,WIN-5224,,,,,77572cd2-083f-4e7f-9aec-6a282f771830,,,,,,nginx,44497,,,INFO,,User account created,,,192.168.92.47
,Firewall,27597,192.168.133.242,,,drop,2025-09-29T23:32:14.874393,5432,,,,,,da48df84-d505-4e60-b9d7-807a2f9ca412,,inbound,,,,,,UDP,FW_RULE_7996,critical,,,,,178.254.35.51
,DNS,,152.98.106.39,,,,2025-09-29T23:47:06.681214,,,wiki.internal.net,0,,0.02,4c3afdfd-e4ad-4ad8-9569-5d297f81e9a1,,,,NOERROR,,,,,,info,CNAME,,,,10.133.37.62
,Security,,192.168.129.24,,,password_change,2025-09-30T00:26:57.925199,,,,,,,13eac34e-2fc9-4c28-95d5-b0d4dd7edde5,user initiated for user on slack,,success,,slack,,,,,critical,,,user6,,10.62.208.44
597794,Network,56870,192.168.14.183,,,,2025-09-29T23:46:46.839886,25,,,,840366,,59698bab-4a94-46ca-8ce7-de5faa79e66e,,,,,,,,ICMP,,info,,,,216.803,172.22.14.80
